"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"overall_metrics","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:23:25.000Z","2","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","","","0.7190725660044608","","","",""
"fold_x32","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:23:03.000Z","20","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.2708972692489624","1","","0.9901819923371648","0.9901819923371648","0.04852847960795119","0.030454352144910525"
"fold_sparc64","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:22:44.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.042831528931856155","1","","0.7261904761904762","0.7261904761904762","0.6039844275667117","0.0272403952810046"
"fold_sparc","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:22:25.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.02181018888950348","1","","0.3823293172690763","0.3823293172690763","2.1405082696523423","0.02492918952091133"
"fold_sh4","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:22:06.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.003466271562501788","1","","0.9993254637436764","0.9993254637436764","0.04444249903643003","0.03080384724737982"
"fold_s390x","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:21:47.000Z","18","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.02630438655614853","1","","0.04409270774448841","0.04409270774448841","3.4911317825317383","0.03331307076380012"
"fold_s390","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:21:29.000Z","17","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.027644244953989983","1","","0.03543764523625097","0.03543764523625097","6.247001465455986","0.03388417459554777"
"fold_riscv64","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:21:10.000Z","17","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.018871625885367393","1","","0.8083333333333333","0.8083333333333333","0.418860043159553","0.03068984842493193"
"fold_ppc64el","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:20:51.000Z","17","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.00014745647786185143","1","","0.8946920238433154","0.8946920238433154","0.3178353134010519","0.026645576347405803"
"fold_ppc64","idun-09-15","logo Simple2d instructionwidth_type 03:16:06, 14-03-2025","finished","-","","","2025-03-14T02:20:32.000Z","17","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","LOGO_architecture_wandb","10","all-experiments-21262944","0.04530973732471466","1","","0.922696787857395","0.922696787857395","0.25420491132471296","0.029998451358914692"
