"Name","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy","test_loss","train_loss"
"overall_metrics","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:42:17.000Z","2","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","","","0.8530317962549925","","",""
"fold_x32","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:42:01.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.0075448728166520596","1","","0.9995210727969348","0.0015556600803186531","0.006385170066090054"
"overall_metrics","logo EmbeddingAnd2dCNNModel endianness 15:35:47, 21-02-2025","finished","-","","","2025-02-21T14:41:47.000Z","3","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","","","0.8961253177032004","","",""
"fold_sparc64","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:41:45.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.00010105672845384106","1","","0.981990231990232","0.06308602044233479","0.007436247270419938"
"fold_x32","logo EmbeddingAnd2dCNNModel endianness 15:35:47, 21-02-2025","finished","-","","","2025-02-21T14:41:31.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.029586609452962875","1","","0.9930555555555556","0.03357103262506329","0.007554649252364124"
"fold_sparc","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:41:29.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.03140786290168762","1","","1","2.2939719097215845e-7","0.007026148942708524"
"fold_sparc64","logo EmbeddingAnd2dCNNModel endianness 15:35:47, 21-02-2025","finished","-","","","2025-02-21T14:41:15.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.006518207024782896","1","","0.938949938949939","0.5971087605360551","0.00892245048000631"
"fold_sh4","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:41:14.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.07623089849948883","1","","0.9932546374367622","0.17351830109793653","0.11847018824871812"
"fold_sparc","logo EmbeddingAnd2dCNNModel endianness 15:35:47, 21-02-2025","finished","-","","","2025-02-21T14:41:00.000Z","14","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.000007924283636384644","1","","1","0.000006367457094884735","0.010435388311887252"
"fold_s390x","logo EmbeddingAnd2dCNNModel instructionwidth_type 15:36:17, 21-02-2025","finished","-","","","2025-02-21T14:40:58.000Z","15","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","EmbeddingAnd2dCNNModel","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","512","LOGO_architecture_wandb","mikkel-02-21","0.01084650494158268","1","","0.9977388355002826","0.013518280187521927","0.014971898068512344"
